COVID DATA (WORLD WIDE),,,,,,,
Country,Total Cases,Total Deaths,Total Recovered,Critical Cases,Deaths/1M pop,Tests/1M pop,Population
USA,"10,77,36,014","11,72,112","10,57,89,797","7,74,105","3,501","35,28,229","33,48,05,269"
India,"4,49,96,313","5,31,921","4,44,62,920","1,472",378,"6,61,721","1,40,66,31,776"
France,"4,01,38,560","1,67,642","3,99,70,918",0,"2,556","41,39,547","6,55,84,518"
Germany,"3,84,28,685","1,74,352","3,82,40,600","13,733","2,078","14,58,359","8,38,83,596"
Brazil,"3,77,39,057","7,04,897","3,62,49,161","7,84,999","3,273","2,96,146","21,53,53,593"
S. Korea,"3,38,97,537","35,557","3,30,54,885","8,07,095",693,"3,07,892","5,13,29,899"
Japan,"3,38,03,572","74,694",N/A,N/A,595,"7,99,578","12,55,84,838"
Italy,"2,59,24,308","1,91,118","2,56,17,603","1,15,587","3,171","45,55,243","6,02,62,770"
UK,"2,46,56,914","2,28,542","2,44,19,416","8,956","3,336","76,28,357","6,84,97,907"
Russia,"2,29,83,150","3,99,938","2,24,36,991","1,46,221","2,743","18,75,095","14,58,05,947"
Turkey,"1,72,32,066","1,02,174",N/A,N/A,"1,194","19,02,052","8,55,61,976"
Spain,"1,39,14,811","1,21,760","1,37,62,417","30,634","2,606","1,00,82,298","4,67,19,142"
Australia,"1,17,37,836","22,466","1,17,10,252","5,118",862,"31,42,326","2,60,68,792"
Vietnam,"1,16,22,276","43,206","1,06,40,392","9,38,678",437,"8,67,342","9,89,53,541"
Taiwan,"1,02,41,520","19,005","1,02,22,514",1,796,"12,86,903","2,38,88,595"
Argentina,"1,00,60,791","1,30,566","99,28,538","1,687","2,838","7,76,264","4,60,10,234"
Netherlands,"86,10,372","22,992","85,87,380",0,"1,336","15,09,718","1,72,11,447"
Mexico,"76,33,355","3,34,336","68,85,378","4,13,641","2,541","1,52,124","13,15,62,772"
Iran,"76,13,208","1,46,318","73,73,629","93,261","1,701","6,61,854","8,60,22,837"
Indonesia,"68,13,095","1,61,916","66,46,293","4,886",580,"4,08,975","27,91,34,505"
Poland,"65,18,400","1,19,636","53,35,940","10,62,824","3,170","10,28,483","3,77,39,785"
Colombia,"63,78,000","1,42,961","61,90,683","44,356","2,775","7,17,327","5,15,12,762"
Greece,"61,01,379","37,089","60,64,290",0,"3,595","99,09,078","1,03,16,637"
Austria,"60,81,287","22,542","60,54,934","3,811","2,486","2,33,02,116","90,66,710"
Portugal,"55,97,751","27,013","55,68,198","2,540","2,664","45,49,993","1,01,40,570"
Ukraine,"55,57,995","1,12,418","54,45,577",0,"2,603","7,54,855","4,31,92,122"
Chile,"52,89,827","64,497","52,25,128",202,"3,350","25,93,672","1,92,50,195"
Malaysia,"51,21,858","37,165","50,72,092","12,601","1,120","20,60,984","3,31,81,072"
Israel,"48,31,302","12,592","47,98,473","20,237","1,350","44,36,346","93,26,000"
Belgium,"48,03,455","34,376","47,67,713","1,366","2,946","31,72,590","1,16,68,278"
DPRK,"47,72,813",74,"47,72,739",0,3,,"2,59,90,679"
Thailand,"47,55,761","34,444","46,92,636","28,681",492,"2,46,450","7,00,78,203"
Canada,"46,99,544","53,216","46,40,582","5,746","1,386","17,28,207","3,83,88,419"
Czechia,"46,43,395","42,813","46,00,303",279,"3,988","53,31,923","1,07,36,784"
Peru,"45,17,034","2,21,364","42,95,670",0,"6,572","11,50,483","3,36,84,208"
Switzerland,"44,08,039","14,452","43,92,785",802,"1,647","27,16,487","87,73,637"
