Franchise,League,From,To,Years,Games Played,Wins,Losses,Win/Loss %,Playoffs,Division,Conference,Championships
Atlanta Hawks,NBA,1949-50,2023-24,75,5855,2891,2964,.494,49,12,0,1
Atlanta Hawks,NBA,1968-69,2023-24,56,4437,2193,2244,.494,36,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2023-24,78,6032,3570,2462,.592,60,33,10,17
Brooklyn Nets,NBA/ABA,1967-68,2023-24,57,4530,1996,2534,.441,31,5,2,2
Brooklyn Nets,NBA,2012-13,2023-24,12,882,414,468,.469,8,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2023-24,34,2631,1153,1478,.438,10,0,0,0
Charlotte Hornets,NBA,2014-15,2023-24,10,711,318,393,.447,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2023-24,58,4598,2344,2254,.510,37,9,6,6
Cleveland Cavaliers,NBA,1970-71,2023-24,54,4271,1984,2287,.465,23,7,5,1
Dallas Mavericks,NBA,1980-81,2023-24,44,3461,1747,1714,.505,24,4,2,1
Denver Nuggets,NBA/ABA,1967-68,2023-24,57,4531,2310,2221,.510,38,13,1,1
Denver Nuggets,NBA,1976-77,2023-24,48,3787,1897,1890,.501,29,10,1,1
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2023-24,76,5916,2813,3103,.475,42,11,5,3
Detroit Pistons,NBA,1957-58,2023-24,67,5297,2500,2797,.472,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2023-24,78,6021,2923,3098,.485,37,12,7,7
Golden State Warriors,NBA,1971-72,2023-24,53,4189,2035,2154,.486,20,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2023-24,57,4524,2328,2196,.515,34,8,4,2
Houston Rockets,NBA,1971-72,2023-24,53,4196,2209,1987,.526,33,8,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2023-24,57,4530,2310,2220,.510,36,9,1,3
Indiana Pacers,NBA,1976-77,2023-24,48,3786,1883,1903,.497,27,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
